,,659.21,-1.69,-0.26%,
,,160,-2.89,-1.77%,
,,11.87,-0.04,-0.34%,
,,,,,
,,34.8,-0.39,-1.11%,
,,46.04,-0.57,-1.22%,
,,,,,
,,94.17,-1.14,-1.20%,
,,113.28,-1.73,-1.51%,
,,27.03,-0.58,-2.10%,
1500
,,659.24,-1.66,-0.25%,
,,160.1,-2.79,-1.72%,
,,11.86,-0.05,-0.42%,
,,,,,
,,34.81,-0.38,-1.08%,
,,46.11,-0.5,-1.07%,
,,72.75,-0.86,-1.17%,
,,94.13,-1.18,-1.24%,
,,113.35,-1.67,-1.45%,
,,,,,
900
,,659,-1.9,-0.29%,
,,159.9,-2.99,-1.84%,
,,11.83,-0.08,-0.67%,
,,,,,
,,34.79,-0.4,-1.12%,
,,46.02,-0.59,-1.27%,
,,,,,
,,94.04,-1.27,-1.33%,
,,113.29,-1.72,-1.50%,
,,26.96,-0.65,-2.35%,
2000
,,658.5,-2.4,-0.36%,
,,159.83,-3.06,-1.88%,
,,11.8,-0.11,-0.92%,
,,,,,
,,34.88,-0.31,-0.88%,
,,46.11,-0.5,-1.07%,
,,72.76,-0.85,-1.16%,
,,94.02,-1.29,-1.35%,
,,113.26,-1.75,-1.52%,
,,26.99,-0.62,-2.25%,
486
,,657.69,-3.21,-0.49%,
,,159.82,-3.07,-1.88%,
,,11.78,-0.13,-1.09%,
,,,,,
,,34.76,-0.43,-1.22%,
,,46,-0.61,-1.31%,
,,72.97,-0.64,-0.87%,
,,93.97,-1.34,-1.41%,
,,113.25,-1.76,-1.53%,
,,26.94,-0.67,-2.43%,
456
,,657.55,-3.35,-0.51%,
,,159.79,-3.1,-1.91%,
,,,,,
,,,,,
,,,,,
,,46.01,-0.6,-1.28%,
,,72.74,-0.88,-1.19%,
,,93.88,-1.43,-1.50%,
,,113.23,-1.78,-1.55%,
,,26.96,-0.65,-2.35%,
1499
,,660.1,-0.8,-0.12%,
,,160.21,-2.68,-1.64%,
,,,,,
,,,,,
,,34.88,-0.31,-0.88%,
,,46.1,-0.51,-1.09%,
,,72.76,-0.85,-1.15%,
,,,,,
,,113.25,-1.76,-1.53%,
,,26.99,-0.62,-2.25%,
3000
,,,,,
,,160.07,-2.82,-0.0173%,
,,11.87,-0.04,-0.0034%,
,,,,,
,,34.87,-0.32,-0.0091%,
,,46.02,-0.59,-0.0127%,
,,72.78,-0.83,-0.0112%,
,,93.92,-1.39,-0.0146%,
,,113.26,-1.75,-0.0152%,
,,,,,
4000
,,657.4,-3.5,-0.0053%,
,,159.71,-3.18,-0.0195%,
,,11.77,-0.14,-0.0118%,
,,,,,
,,34.78,-0.41,-0.0117%,
,,46.05,-0.56,-0.012%,
,,72.76,-0.85,-0.0116%,
,,94.21,-1.1,-0.0115%,
,,113.29,-1.72,-0.015%,
,,27.04,-0.57,-0.0206%,
400
,,657.87,-3.03,-0.0046%,
,,159.9,-2.99,-0.0184%,
,,11.77,-0.14,-0.0118%,
,,,,,
,,34.79,-0.4,-0.0114%,
,,46.01,-0.6,-0.0129%,
,,72.7,-0.91,-0.0124%,
,,93.94,-1.37,-0.0144%,
,,113.32,-1.69,-0.0147%,
,,27.03,-0.58,-0.021%,
7000
,,657.93,-2.97,-0.0045%,
,,159.93,-2.96,-0.0182%,
,,,,,
,,13.47,-0.08,-0.0059%,
,,34.85,-0.34,-0.0097%,
,,46.02,-0.59,-0.0126%,
,,72.88,-0.73,-0.0099%,
,,93.93,-1.38,-0.0145%,
,,113.62,-1.39,-0.0121%,
,,27.01,-0.6,-0.0217%,
1300
