Name,Company Name,Price,Change,Chg %,Mkt Cap
GOOG,Google Inc,658.89,-2.01,-0.30%,460.74B
BIDU,Baidu Inc (ADR),160.19,-2.70,-1.66%,56.49B
YNDX,Yandex NV,11.80,-0.11,-0.92%,3.75B
BCOR,Blucora Inc,13.43,-0.12,-0.89%,557.51M
YHOO,Yahoo! Inc.,34.79,-0.40,-1.14%,32.76B
MSFT,Microsoft Corp,46.17,-0.44,-0.93%,369.67B
IACI,IAC/InterActiveCorp,73.17,-0.44,-0.60%,6.09B
FB,Facebook Inc,94.20,-1.11,-1.16%,264.27B
AAPL,Apple Inc.,113.76,-1.25,-1.09%,649.88B
TWTR,Twitter Inc,27.19,-0.42,-1.52%,18.35B
